Sr No.,NAMC_ID,NAMC_CODE,NAMC_term,NAMC_term_diacritical,NAMC_term_DEVANAGARI,Short_definition,Long_definition,Ontology_branches,code,term_english,description,icd11_code,icd11_term
1,1,AYU,vyAdhi-viniScayaH,vyādhi-viniścayaḥ,व्याधि-विनिश्चयः,,,,AYU,vyAdhi-viniScayaH,,,
2,2,DIS,vikAraH,vikāraḥ,विकारः,,,,DIS,vikAraH,,,
3,3,A,doShavaiShamyam,dōṣavaiṣamyam,दोषवैषम्यम्,,,,A,doShavaiShamyam,,,
4,4,AA,vAtavyAdhiH,vātavyādhiḥ,वातव्याधिः,,,,AA,vAtavyAdhiH,,BA00,Disorders of the nervous system
5,5,AAA,doShAvasthA (vAta),dōṣāvasthā (vāta),दोषावस्था (वात),,,,AAA,doShAvasthA (vAta),,BA00,Disorders of the nervous system
6,6,SR11 (AAA-1),vAtasa~jcayaH,(a) vātasañcayaḥ,वातसञ्चयः,,"It is characterized by impaired movements of vāta, fullness of abdomen and aversion to factors causing of increase of vāta such as cold. This may be explained by accumulation of vatadosha at the designated site to a moderate level resulting in accumulation.",,SR11 (AAA-1),vAtasa~jcayaH,,BA00,Disorders of the nervous system
7,7,SR12 (AAA-2),vAtavRuddhiH,(a) vātavṛddhiḥ,वातवृद्धिः,,"It is characterized by roughness or hoarseness of voice, emaciation, blackish discoloration of body, twitching in various parts of body, desire for warmth, insomnia, reduced physical strength, hard stools. This may be explained by marked increase of vatadosha functions and consequent physiological and pathological ramifications.",,SR12 (AAA-2),vAtavRuddhiH,,BA00,Disorders of the nervous system
8,8,SR10  (AAA-2.1),vAtaprakopaH,(a) vātaprakopaḥ,वातप्रकोपः,,It is characterized by abdominal pain and increased gaseous movements in abdomen. This may be explained by aggravation of vatadosha at its designated site and preparing to cause certain morbidity.,,SR10  (AAA-2.1),vAtaprakopaH,,BA00,Disorders of the nervous system
9,9,AAA-2.2,prANavAtakopaH,prāṇavātakōpaḥ,प्राणवातकोपः,,"the disorder is characterized by hikkā [hiccup], śvāsa [breathlessness/difficult breathing], cakṣurādīnāmupaghāta [impairment of sense organs viz. eye], pīnasa [cold, catarrh], ardita [facial paralysis], tr̥ṭ [thirst], kāsaḥ [cough]",,AAA-2.2,prANavAtakopaH,,BA00,Disorders of the nervous system
10,10,AAA-2.3,udAnavAtakopaH,udānavātakōpaḥ,उदानवातकोपः,,"the disorder is characterized by kaṇṭharōdha [choking of throat/stopping or lowering voice], manōbhraṁśa [mental disturbance], chardiḥ [vomiting], arōcakaḥ [tastelessness], pīnasa [cold, catarrh], galagaṇḍaḥ [glandular swelling in jaw, neck and throat region /goitre], jatrūrdhvarōga [diseases of body above collar bone/diseases of head and neck]",,AAA-2.3,udAnavAtakopaH,,BA00,Disorders of the nervous system
